"Workflow_Node_Agent_Schedule_ID","Workflow_ID","Node_ID","Rel_Act_Ind","Last_Updated_Dts","Agent_ID","Schedule_ID","Agent_Workflow_Download_Status","Last_Updated_By","Agent_Node_Mapping_Id"
"1","1","2","false","2020-04-14T22:18:27","1","1","DEACTIVATED","1","1"
"2","2","2","false","2020-04-14T22:19:32","1","1","DEACTIVATED","1","1"
"3","5","4","false","2021-05-25T20:44:56","1","1","DEACTIVATED","1","8"
"4","6","4","false","2021-05-25T20:45:52","1","1","DEACTIVATED","1","9"
"5","2","2","false","2021-05-25T20:35:17","1","1","DEACTIVATED","NULL","1"
"6","2","4","false","2021-05-25T20:35:17","1","1","DEACTIVATED","NULL","10"
"7","6","4","false","2021-05-25T20:55:14","1","2","DEACTIVATED","NULL","9"
"8","1","2","true","2021-05-25T20:56:21","1","1","NA","NULL","1"
"9","1","4","true","2021-05-25T20:56:21","1","2","NA","NULL","3"
"10","6","4","false","2021-05-25T20:57:48","1","2","DEACTIVATED","NULL","9"
"11","2","2","true","2021-05-25T20:58:25","1","1","NA","NULL","1"
"12","2","4","true","2021-05-25T21:08:21","1","2","READY","NULL","10"
"13","5","4","true","2021-05-25T20:59:52","1","2","READY","NULL","8"
"14","6","4","true","2021-05-25T21:20:14","1","2","READY","NULL","9"
"15","7","2","true","2021-05-25T21:49:29","1","1","NA","1","1"
"16","8","2","true","2021-05-25T23:09:09","1","1","NA","1","1"
