"id","project_id","ci_id","dashboard_id"
"1","2","30","21"
"2","2","8","21"
"3","2","2","21"
"4","2","11","21"
"5","2","31","21"
"6","2","6","21"
"7","2","12","21"
"8","2","19","21"
"9","2","16","21"
"10","2","23","21"
"11","2","28","21"
"12","2","3","21"
"13","2","26","21"
"14","2","9","21"
"15","2","4","21"
"16","2","32","21"
"17","2","29","21"
"18","2","24","21"
"19","2","25","21"
"20","2","1","21"
"21","2","7","21"
"22","2","20","21"
"23","2","10","21"
"24","2","17","21"
"25","2","18","21"
"26","2","15","21"
"27","2","21","21"
"28","2","27","21"
"29","2","5","21"
"30","2","22","21"
"31","2","13","21"
"32","2","14","21"
"33","2","65","22"
"34","2","30","22"
"35","2","46","22"
"36","2","34","22"
"37","2","66","22"
"38","2","59","22"
"39","2","43","22"
"40","2","49","22"
"43","2","39","22"
"44","2","41","22"
"45","2","55","22"
"46","2","64","22"
"47","2","57","22"
"48","2","53","22"
"49","2","35","22"
"50","2","38","22"
"51","2","36","22"
"52","2","56","22"
"53","2","63","22"
"54","2","33","22"
"55","2","48","22"
"56","2","54","22"
"57","2","60","22"
"58","2","50","22"
"59","2","58","22"
"60","2","61","22"
"61","2","42","22"
"62","2","51","22"
"63","2","47","22"
"64","2","37","22"
"65","2","62","22"
"66","2","52","22"
"67","2","44","22"
"68","2","67","22"
